userId,676a45d7ad5662a59156bc75,676d693a19a1c9a22dd6c8ff,676d6a27e4c7f149ab8ae6a2,677028e711be7f43f7f92d82,67716eaaccc435d843f60395,67716f24ccc435d843f60397,67716fd4ccc435d843f60399,677173d7ccc435d843f603a1,67717430ccc435d843f603a3,677174eaccc435d843f603a7,677175a6ccc435d843f603ab,67717688ccc435d843f603af,677176f7ccc435d843f603b3,67717800ccc435d843f603b7,67717b3dccc435d843f603b9,6778b0bbccc435d843f603bf,6778b1c0ccc435d843f603c5,67809bf51df54503ee14d24f,6780a6441df54503ee14d253,6780a6a41df54503ee14d255,6780b1991df54503ee14d257,6780b1dc1df54503ee14d259,6780b22a1df54503ee14d25b,6780b3c01df54503ee14d25f,6780b4211df54503ee14d261,6780b5411df54503ee14d265
67ace7449f0fde70aa37abfe,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67ace7449f0fde70aa37ac00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0
67ace7459f0fde70aa37ac04,0.0,2.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
67ace7459f0fde70aa37ac06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
67ace7469f0fde70aa37ac08,2.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0
67ace7469f0fde70aa37ac0a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,2.0,0.0,0.0,0.0,0.0,2.0
67ace7469f0fde70aa37ac0c,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
67ace7469f0fde70aa37ac0e,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0
67ace7479f0fde70aa37ac10,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0
67ace7479f0fde70aa37ac12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0
